t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^gage_action_0001^,^강화장치 조작^,^^,^^,^Cleansing Obelisk^,^^,^^
^gage_action_0002^,^널빤지 뜯어 내기^,^^,^^,^Salvaging Wood^,^^,^^
^gage_action_0003^,^다리 내리기^,^^,^^,^Place Bridge^,^^,^^
^gage_action_0004^,^대포 쏘기^,^^,^^,^Fire Cannon^,^^,^^
^gage_action_0005^,^도르래 빼는 중^,^^,^^,^Taking Pulley^,^^,^^
^gage_action_0006^,^레버 작동 중^,^^,^^,^Using Lever^,^^,^^
^gage_action_0007^,^마법구 작동^,^^,^^,^Taking Soul Sphere^,^^,^^
^gage_action_0008^,^마비독 살포하기^,^^,^^,^Poisoning Food^,^^,^^
^gage_action_0009^,^맹독 살포 중^,^^,^^,^Poisoning Food^,^^,^^
^gage_action_0010^,^모래 속 뒤지기^,^^,^^,^Dig Into Sand^,^^,^^
^gage_action_0011^,^검 뽑는 중^,^^,^^,^Drawing Sword^,^^,^^
^gage_action_0012^,^무기 꺼내는 중^,^^,^^,^Taking Weapon^,^^,^^
^gage_action_0013^,^무덤 손질 중^,^^,^^,^Cleaning Grave^,^^,^^
^gage_action_0014^,^물 끼얹기^,^^,^^,^Pour Water^,^^,^^
^gage_action_0015^,^물의 거울 설치 중^,^^,^^,^Placing Water Mirror^,^^,^^
^gage_action_0016^,^미끼 놓는 중^,^^,^^,^Placing Bait^,^^,^^
^gage_action_0017^,^벌집 건드리기^,^^,^^,^Touch Beehive^,^^,^^
^gage_action_0018^,^보관함 불태우는 중^,^^,^^,^Burning Stores^,^^,^^
^gage_action_0019^,^부품 빼는 중^,^^,^^,^Destroying^,^^,^^
^gage_action_0020^,^불 끄기^,^^,^^,^Dousing Fire^,^^,^^
^gage_action_0021^,^불 붙이는 중^,^^,^^,^Lighting Fire^,^^,^^
^gage_action_0022^,^붙 붙이기^,^^,^^,^Light Fire^,^^,^^
^gage_action_0023^,^비밀서신 매다는 중^,^^,^^,^Attaching Document^,^^,^^
^gage_action_0024^,^뼈 발굴하는 중^,^^,^^,^Unearthing Bone^,^^,^^
^gage_action_0025^,^뿔나팔 조작하는 중^,^^,^^,^Using Horn^,^^,^^
^gage_action_0026^,^석궁 부품 챙기기^,^^,^^,^Packing Crossbow Parts^,^^,^^
^gage_action_0027^,^소환석 작동 중^,^^,^^,^Using Summoner's Stone^,^^,^^
^gage_action_0028^,^수로 개방^,^^,^^,^Opening Waterway^,^^,^^
^gage_action_0029^,^수호석 작동^,^^,^^,^Use Guardian Stone^,^^,^^
^gage_action_0030^,^수호신룡 소환^,^^,^^,^Summon Guardian Dragon^,^^,^^
^gage_action_0031^,^수호의 힘 봉인 중^,^^,^^,^Sealing Guardian Power^,^^,^^
^gage_action_0032^,^수호진 작동^,^^,^^,^Use Guardian Circle^,^^,^^
^gage_action_0033^,^스위치 작동^,^^,^^,^Using Switch^,^^,^^
^gage_action_0034^,^시신 수습 중^,^^,^^,^Sanctifying Corpse^,^^,^^
^gage_action_0035^,^시신 수습하기^,^^,^^,^Handle Corpse^,^^,^^
^gage_action_0036^,^식량 보급^,^^,^^,^DeliveRing Food Supplies^,^^,^^
^gage_action_0037^,^신념의 힘 봉인 중^,^^,^^,^Sealing Strength^,^^,^^
^gage_action_0038^,^신탁을 받는 중^,^^,^^,^Receiving Oracle^,^^,^^
^gage_action_0039^,^씨앗 심기^,^^,^^,^Plant Seeds^,^^,^^
^gage_action_0040^,^안장 중^,^^,^^,^Saddling Up^,^^,^^
^gage_action_0041^,^알 몰래 꺼내는 중^,^^,^^,^Taking Egg^,^^,^^
^gage_action_0042^,^양념 재료 넣는 중^,^^,^^,^Adding Spices^,^^,^^
^gage_action_0043^,^어둠의 서 획득^,^^,^^,^Taking Book of Ruin^,^^,^^
^gage_action_0044^,^얼음상 깨기^,^^,^^,^Break Ice Statue^,^^,^^
^gage_action_0045^,^역병 표본 채취중^,^^,^^,^GatheRing Epidemic Sample^,^^,^^
^gage_action_0046^,^연장 챙기기^,^^,^^,^Take Tool^,^^,^^
^gage_action_0047^,^열쇠 획득^,^^,^^,^Taking^,^^,^^
^gage_action_0048^,^영혼을 인도하는 중^,^^,^^,^Leading Souls^,^^,^^
^gage_action_0049^,^용광로 기울이기^,^^,^^,^Tilt Furnace^,^^,^^
^gage_action_0050^,^유작 만져보기^,^^,^^,^Touch posthumous work^,^^,^^
^gage_action_0051^,^인부에게 지원 요청 중^,^^,^^,^Rallying^,^^,^^
^gage_action_0052^,^인질 구출중^,^^,^^,^Rescuing Hostage^,^^,^^
^gage_action_0053^,^작동 중^,^^,^^,^Using^,^^,^^
^gage_action_0054^,^작업복 꺼내기^,^^,^^,^GatheRing Clothes^,^^,^^
^gage_action_0055^,^장갑 꺼내기^,^^,^^,^GatheRing Gloves^,^^,^^
^gage_action_0056^,^장비 꺼내는 중^,^^,^^,^Taking Equipment^,^^,^^
^gage_action_0057^,^장치 조작 중^,^^,^^,^Using Device^,^^,^^
^gage_action_0058^,^전달 중^,^^,^^,^DeliveRing^,^^,^^
^gage_action_0059^,^정수 마시는 중^,^^,^^,^Demon Essence^,^^,^^
^gage_action_0060^,^제단 작동^,^^,^^,^Using Altar^,^^,^^
^gage_action_0061^,^제단에 불 피우는 중^,^^,^^,^Lighting Altar Fire^,^^,^^
^gage_action_0062^,^제어장치 조작 중^,^^,^^,^Disabling Device^,^^,^^
^gage_action_0063^,^조작 중^,^^,^^,^Using^,^^,^^
^gage_action_0069^,^종 울리기^,^^,^^,^Ring Bell^,^^,^^
