t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^dialog_1420001_title^,^Assassin Clan Leader Crow^,^シャドウクラン団長クロウ^,^^,^^,^^,^^
^dialog_1420001_text0^,^Are you Nero? A flying fellow crashed in a pirate Crossbow attack. Serin, who was with us. went out on a reconnaissance. and he seems to have been caught by the enemy.^,^君だな?飛行フェローが海賊団のボーガン攻撃を受けて墜落した。我ーと一緒にいたセリンは偵察中に敵に捕まえたそうだ。^,^^,^^,^^,^^
^dialog_1420002_title^,^Scout Serene^,^偵察隊員セリン^,^^,^^,^^,^^
^dialog_1420002_text0^,^Ah! Praise to Goddess Ellora!<br><br>You have come to rescue me.^,^ああ、女神エローラ様に賛美を。<br><br>私を助けにきてくれましたんですね。^,^^,^^,^^,^^
^dialog_1420003_title^,^New Dragon Knights Commander Paulo Rohrman^,^神竜騎士団長パウロロアマン^,^^,^^,^^,^^
^dialog_1420003_text0^,^The dark demon. Karasha. appeared in the turbulent land to rule over the fire creatures. We've been sent to report the situation.^,^暗黒魔竜カラシャは火属性の生命体全てを支配する為に燃え盛る大地に現れた。我々はその状況を報告するため派遣された。^,^^,^^,^^,^^
^dialog_1420004_title^,^Assassin Clan Member Synth^,^シャドウクラン団員シンスメイヤー^,^^,^^,^^,^^
^dialog_1420004_text0^,^We were on our way towards the capital city of Hakanas. There is very little information about the situation here. But even in this situation. I will do my best.^,^私達はハカナス首都城に行く途中でした。ここの状況に関する情報はあまりありません。しかしこんな状況だとしても責任を全うします。^,^^,^^,^^,^^
^dialog_1420005_title^,^Guardian Knights of Shinryong Knights^,^神竜騎士団守護騎士^,^^,^^,^^,^^
^dialog_1420005_text0^,^You must stop the Dark Demon Dragon Karasha from growing in power.^,^暗黒魔竜カラシャの勢力拡大を阻止せねばなりません。^,^^,^^,^^,^^
^dialog_1420006_title^,^Temple Knight^,^神殿騎士団員^,^^,^^,^^,^^
^dialog_1420006_text0^,^For the glory of Hakanas Kingdom!<br><br>WHat's going on?^,^ハカナス王国に栄光あれ！<br><br>何かご用でしょうか？^,^^,^^,^^,^^
^dialog_1420007_title^,^Bodyguard Tortus^,^護衛隊長トルトゥス^,^^,^^,^^,^^
^dialog_1420007_text0^,^The pirates occupying this place will not stand still as we make our way to the realm. I guess I'll have to get out of here and get to the realm...^,^ここを占拠している海賊団は、我々が王国に行こうとするのを見逃すはずがない。一刻も早く王国に行かねばならんのに…^,^^,^^,^^,^^
^dialog_1420008_title^,^Bodyguard Lena^,^姫の護衛騎士レナ^,^^,^^,^^,^^
^dialog_1420008_text0^,^I wasn't flying over here... I was in a hurry to go to the kingdom. but I was delayed even more.^,^ブラカルの森の上空を航路にしたのは失敗でした。<br>時間を短縮するつもりが余計時間を取られることになってしまいました。^,^^,^^,^^,^^
^dialog_1420009_title^,^New Dragon Knights Scout Swin^,^神竜騎士団偵察隊員スウィーン^,^^,^^,^^,^^
^dialog_1420009_text0^,^Nice to meet you. He was a brave man. I was hiding and scouting. and I saw you fighting pirates and waited for you.^,^初めまして。姿をさらすわけにはいかないので隠れて見ていましたが、海賊と戦うあなたの勇士を見て身震いがしました。^,^^,^^,^^,^^
