t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^squest_sf_01^,^Fight the threats around you^,^周りの脅威に立ち向かえ^,^^,^^,^^,^^
^squest_sf_02^,^Escape the Brakar Forest^,^ブラカルの森を脱出せよ^,^^,^^,^^,^^
^squest_sf_03_part_01^,^Find Crow^,^クロウを訪ねよう^,^^,^^,^^,^^
^squest_sf_04^,^How to tame a wild beast^,^野獣を捕まえる方法^,^^,^^,^^,^^
^squest_sf_04_part_01^,^Learn How to Tame^,^捕獲を習得せよ^,^^,^^,^^,^^
^squest_sf_04_part_02^,^Get the power of darkness^,^闇の力を手に入れよ^,^^,^^,^^,^^
^squest_hk_01^,^Get ready to save the kingdom^,^王国を助けるための準備^,^^,^^,^^,^^
^squest_hk_03^,^Change of Animals^,^動物の異変^,^^,^^,^^,^^
^squest_hk_02^,^Danger of ruins swallowed by fire^,^灼熱の火山遺跡の危険^,^^,^^,^^,^^
^squest_hk_021^,^Invasion of the Church of Khabiim^,^カフィン教団の侵入^,^^,^^,^^,^^
^squest_hk_04^,^Chaos in the north^,^北部の混乱^,^^,^^,^^,^^
^squest_hk_05^,^Vampire's Secret^,^吸血鬼の秘密^,^^,^^,^^,^^
^squest_hk_06^,^Those who sow death^,^死を振り撒く者たち^,^^,^^,^^,^^
^squest_hk_07^,^Sarant's plan^,^サラントの計画^,^^,^^,^^,^^
^squest_hk_08^,^Face the Storm Dragon^,^暴風の魔軍に立ち向かえ^,^^,^^,^^,^^
^squest_hk_09^,^Dangers in the Capital City^,^首都城に差し迫った危機^,^^,^^,^^,^^
^squest_hkd_01^,^Secure a path to^,^大海通路を確保せよ^,^^,^^,^^,^^
^squest_hkd_02^,^Support the construction site^,^建設現場を応援せよ^,^^,^^,^^,^^
^squest_hkd_03^,^Confront the Scandal Corps^,^スカン空賊団に立ち向かえ^,^^,^^,^^,^^
^squest_hkd_04^,^Find the Princess's Traces^,^姫の跡を探せ^,^^,^^,^^,^^
^squest_hkd_05^,^WHat Happened at Rainbow Coral Reef^,^レインボーサンゴ草での出来事^,^^,^^,^^,^^
^squest_f02_g_01^,^Escape the turbulent land^,^燃え盛る大地を脱出せよ^,^^,^^,^^,^^
^squest_st_01^,^The road to the lake of life^,^生命の湖への道^,^^,^^,^^,^^
^squest_st_01_part_01^,^Closed lake of life^,^閉塞された生命の湖^,^^,^^,^^,^^
^squest_st_01_part_02^,^Garrison of suffeRing^,^苦難の守備隊^,^^,^^,^^,^^
^squest_st_02^,^Assassin of darkness^,^黒幕の影^,^^,^^,^^,^^
^squest_st_02_part_01^,^Destroy the pirate camp^,^海賊団陣地を破壊せよ^,^^,^^,^^,^^
^squest_st_02_part_02^,^Purpose of the Pirates^,^海賊団の目的^,^^,^^,^^,^^
^squest_st_03^,^Goddess Parna's Anguish^,^女神パルナの苦悩^,^^,^^,^^,^^
^squest_st_03_part_01^,^The Fury's Anxiety^,^ムラミ族の悩み^,^^,^^,^^,^^
^squest_st_03_part_02^,^The division of the Murami^,^ムラミ族の分裂^,^^,^^,^^,^^
^squest_st_03_part_03^,^Goddess' Blessing^,^女神の祝福^,^^,^^,^^,^^
^squest_st_04^,^Ice castle attack^,^氷城攻略戦^,^^,^^,^^,^^
^squest_st_04_part_01^,^Curse of Ice^,^氷の呪い^,^^,^^,^^,^^
