t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^CHatMsg_emotion_win_my_target^,^당신은 [Target]님을 보며 승리를 기뻐합니다.^,^あなたは[Target]様を見て勝利を喜びます。^,^^,^You pump your fists in victory in front of [Target].^,^^,^^
^CHatMsg_emotion_lose_my_target^,^당신은 [Target]님을 보며 패배감을 느낍니다.^,^あなたは[Target]様を見て敗北感を感じます。^,^^,^You crumple in defeat in front of [Target].^,^^,^^
^CHatMsg_emotion_confession_my_target^,^당신은 [Target]님에게 수줍게 고백합니다.^,^あなたは[Target]様にもじもじと告白します。^,^^,^You woo [Target].^,^^,^^
^CHatMsg_emotion_surprise_my_target^,^당신은 [Target]님을 보고 크게 놀랍니다.^,^あなたは[Target]様を見てびっくりします。^,^^,^You are shocked at [Target].^,^^,^^
^CHatMsg_emotion_charge_my_target^,^당신은 [Target]님을 향해 돌격합니다.^,^あなたは[Target]様に向かって突撃します。^,^^,^You tell [Target] to charge!^,^^,^^
^CHatMsg_emotion_shame_my_target^,^당신은 [Target]님을 보며 부끄러워 합니다.^,^あなたは[Target]様を見て恥ずかしがります。^,^^,^You look bashfully at [Target].^,^^,^^
^CHatMsg_emotion_greeting_my_target^,^당신은 [Target]님에게 손인사를 합니다.^,^あなたは[Target]様に手を振り挨拶します。^,^^,^You wave at [Target].^,^^,^^
^CHatMsg_emotion_joyful_my_target^,^당신은 [Target]님을 보며 기뻐합니다.^,^あなたは[Target]様を見て喜びます。^,^^,^You are overjoyed to see [Target].^,^^,^^
^CHatMsg_emotion_cry_my_target^,^당신은 [Target]님을 보며 엉엉 웁니다.^,^あなたは[Target]様を見てわんわんと泣きます^,^^,^[Target] has made you cry.^,^^,^^
^CHatMsg_emotion_smile_my_target^,^당신은 [Target]님을 보며 크게 웃습니다.^,^あなたは[Target]様を見て爆笑します。^,^^,^You laugh at [Target].^,^^,^^
^CHatMsg_emotion_cheerup_my_target^,^당신은 [Target]님을 응원합니다.^,^あなたは[Target]様を応援します。^,^^,^You cheer [Target] on.^,^^,^^
^CHatMsg_emotion_mockery_my_target^,^당신은 [Target]님을 조롱합니다.^,^あなたは[Target]様をからかいます。^,^^,^You mock [Target].^,^^,^^
^CHatMsg_emotion_cheers_my_target^,^당신은 [Target]님을 보며 환호합니다.^,^あなたは[Target]様を見て歓呼します。^,^^,^You cheer [Target] on.^,^^,^^
^CHatMsg_emotion_penalty1_my_target^,^당신은 [Target]님에게 땀을 흘리며 벌칙을 받습니다.^,^あなたは[Target]様に罰を受けます。^,^^,^You look sheepishly away from [Target].^,^^,^^
^CHatMsg_emotion_penalty2_my_target^,^당신은 [Target]님에게 벌칙을 받으며 힘들어 합니다.^,^あなたは[Target]様に罰を受けて辛いです。^,^^,^You look dubiously at [Target].^,^^,^^
^CHatMsg_emotion_refuse_my_target^,^당신은 [Target]님에게 거절의 의사를 밝힙니다.^,^あなたは[Target]様に拒絶の意思を示します。^,^^,^You decline [Target].^,^^,^^
^CHatMsg_emotion_angry_my_target^,^당신은 [Target]님을 보며 화를 냅니다.^,^あなたは[Target]様に対し怒ります。^,^^,^You are furious at [Target].^,^^,^^
^CHatMsg_emotion_applause_my_target^,^당신은 [Target]님을 보며 박수를 칩니다.^,^あなたは[Target]様に向かって拍手を送ります。^,^^,^You applaud [Target].^,^^,^^
^CHatMsg_emotion_salute_my_target^,^당신은 [Target]님에게 경례를 합니다.^,^あなたは[Target]様に敬礼します。^,^^,^You salute [Target].^,^^,^^
^CHatMsg_emotion_cheek_my_target^,^당신은 [Target]님의 따귀를 힘껏 때립니다.^,^あなたは[Target]様にビンタを打ちます。^,^^,^You slap [Target] across the face.^,^^,^^
^CHatMsg_emotion_slapped_my_target^,^당신은 [Target]님에게 따귀를 맞고 아파합니다.^,^あなたは[Target]様にビンタを打たれて痛がります。^,^^,^Your eyes water from [Target]'s slap.^,^^,^^
^CHatMsg_emotion_beg2_my_target^,^당신은 [Target]님에게 떼를 씁니다. 징징징^,^あなたは[Target]様にわがままを言います。ねぇねぇ^,^^,^You whine to [Target].^,^^,^^
^CHatMsg_emotion_step_my_target^,^당신은 [Target]님을 힘껏 밟습니다. 퍽퍽퍽^,^あなたは[Target]様を思いっきり踏みつけます。^,^^,^You stomp on [Target].^,^^,^^
^CHatMsg_emotion_affirmation_my_target^,^당신은 [Target]님을 보며 긍정의 의사를 밝힙니다.^,^あなたは[Target]様に肯定の意思を表します。^,^^,^You agree with [Target].^,^^,^^
^CHatMsg_emotion_win_others_target^,^[Actor]님이 [Target]님을 보며 승리를 기뻐합니다.^,^[Target]様が[Target]様を見て勝利を喜んでいます。^,^^,^[Actor] pumps their fists in victory in front of [Target].^,^^,^^
^CHatMsg_emotion_lose_others_target^,^[Actor]님이 [Target]님을 보며 패배감을 느낍니다.^,^[Target]様が[Target]様を見て敗北感を感じています。^,^^,^[Actor] crumples in defeat in front of [Target].^,^^,^^
^CHatMsg_emotion_confession_others_target^,^[Actor]님이 [Target]님에게 수줍게 고백합니다.^,^[Target]様が[Target]様にもじもじと告白しています。^,^^,^[Actor] woos [Target].^,^^,^^
^CHatMsg_emotion_surprise_others_target^,^[Actor]님이 [Target]님을 보고 크게 놀랍니다.^,^[Target]様が[Target]様を見てびっくりしています。^,^^,^[Actor] is shocked at [Target].^,^^,^^
^CHatMsg_emotion_charge_others_target^,^[Actor]님이 [Target]님을 향해 돌격합니다.^,^[Target]様が[Target]様に向かって突撃します。^,^^,^[Actor] tells [Target] to charge!^,^^,^^
^CHatMsg_emotion_shame_others_target^,^[Actor]님이 [Target]님을 보며 부끄러워 합니다.^,^[Target]様が[Target]様を見て恥ずかしがっています。^,^^,^[Actor] looks bashfully at [Target].^,^^,^^
^CHatMsg_emotion_greeting_others_target^,^[Actor]님이 [Target]님에게 손인사를 합니다.^,^[Target]様が[Target]様に手を振り挨拶をしてします。^,^^,^[Actor] waves at [Target].^,^^,^^
^CHatMsg_emotion_joyful_others_target^,^[Actor]님이 [Target]님을 보며 기뻐합니다.^,^[Target]様が[Target]様を見て喜んでいます。^,^^,^[Actor] is overjoyed to see [Target].^,^^,^^
^CHatMsg_emotion_cry_others_target^,^[Actor]님이 [Target]님을 보며 엉엉 웁니다.^,^[Target]様が[Target]様を見てわんわんと泣いています。^,^^,^[Target] has made [Actor] cry.^,^^,^^
^CHatMsg_emotion_smile_others_target^,^[Actor]님이 [Target]님을 보며 크게 웃습니다.^,^[Target]様が[Target]様を見て爆笑しています。^,^^,^[Actor] laughs at [Target].^,^^,^^
^CHatMsg_emotion_cheerup_others_target^,^[Actor]님이 [Target]님을 응원합니다.^,^[Target]様が[Target]様を応援しています。^,^^,^[Actor] cheers [Target] on.^,^^,^^
^CHatMsg_emotion_mockery_others_target^,^[Actor]님이 [Target]님을 조롱합니다.^,^[Target]様が[Target]様をからかっています。^,^^,^[Actor] mocks [Target].^,^^,^^
^CHatMsg_emotion_cheers_others_target^,^[Actor]님이 [Target]님을 보며 환호합니다.^,^[Target]様が[Target]様を見て歓呼しています。^,^^,^[Actor] cheers [Target] on.^,^^,^^
^CHatMsg_emotion_penalty1_others_target^,^[Actor]님이 [Target]님에게 땀을 흘리며 벌칙을 받습니다.^,^[Target]様が[Target]様に罰を受けています。^,^^,^[Actor] looks sheepishly away from [Target].^,^^,^^
^CHatMsg_emotion_penalty2_others_target^,^[Actor]님이 [Target]님에게 벌칙을 받으며 힘들어 합니다.^,^[Target]様が[Target]様に罰を受け辛そうです。^,^^,^[Actor] looks dubiously at [Target].^,^^,^^
^CHatMsg_emotion_refuse_others_target^,^[Actor]님이 [Target]님에게 거절의 의사를 밝힙니다.^,^[Target]様が[Target]様に拒絶の意思を示しています^,^^,^[Actor] declines [Target].^,^^,^^
^CHatMsg_emotion_angry_others_target^,^[Actor]님이 [Target]님을 보며 화를 냅니다.^,^[Target]様が[Target]様に対し怒っています。^,^^,^[Actor] is furious at [Target].^,^^,^^
^CHatMsg_emotion_applause_others_target^,^[Actor]님이 [Target]님을 보며 박수를 칩니다.^,^[Target]様が[Target]様に向かって拍手をしています。^,^^,^[Actor] applauds [Target].^,^^,^^
^CHatMsg_emotion_salute_others_target^,^[Actor]님이 [Target]님에게 경례를 합니다.^,^[Target]様が[Target]様に敬礼しています。^,^^,^[Actor] salutes [Target].^,^^,^^
^CHatMsg_emotion_cheek_others_target^,^[Actor]님이 [Target]님의 따귀를 힘껏 때립니다.^,^[Target]様が[Target]様にビンタを打ちます。^,^^,^[Actor] slaps [Target] across the face.^,^^,^^
^CHatMsg_emotion_slapped_others_target^,^[Actor]님이 [Target]님에게 따귀를 맞고 아파합니다.^,^[Target]様が[Target]様にビンタを打たれて痛がっています。^,^^,^[Actor]'s eyes water from [Target]'s slap.^,^^,^^
^CHatMsg_emotion_beg2_others_target^,^[Actor]님이 [Target]님에게 떼를 씁니다. 징징징^,^[Target]様が[Target]様にわがままを言っています。ねぇねぇ^,^^,^[Actor] whines to [Target].^,^^,^^
^CHatMsg_emotion_step_others_target^,^[Actor]님이 [Target]님을 힘껏 밟습니다. 퍽퍽퍽^,^[Target]様が[Target]様を思いっきり踏みつけてます。^,^^,^[Actor] stomps on [Target].^,^^,^^
^CHatMsg_emotion_affirmation_others_target^,^[Actor]님이 [Target]님을 보며 긍정의 의사를 밝힙니다.^,^[Target]様が[Target]様を見て肯定の意思を表しています。^,^^,^[Actor] agrees with [Target].^,^^,^^
^CHatMsg_emotion_win_yours^,^[Actor]님이 당신을 보며 승리를 기뻐합니다.^,^[Target]様があなたを見て勝利を喜んでいます。^,^^,^[Actor] pumps their fists in victory in front of you.^,^^,^^
^CHatMsg_emotion_lose_yours^,^[Actor]님이 당신을 보며 패배감을 느낍니다.^,^[Target]様があなたを見て敗北感を感じています。^,^^,^[Actor] crumples in defeat in front of you.^,^^,^^
^CHatMsg_emotion_confession_yours^,^[Actor]님이 당신에게 수줍게 고백합니다.^,^[Target]様があなたにもじもじと告白しています。^,^^,^[Actor] woos you.^,^^,^^
^CHatMsg_emotion_surprise_yours^,^[Actor]님이 당신을 보고 크게 놀랍니다.^,^[Target]様があなたを見てびっくりしています。^,^^,^[Actor] is shocked at you.^,^^,^^
^CHatMsg_emotion_charge_yours^,^[Actor]님이 당신을 향해 돌격합니다.^,^[Target]様があなたに向かって突撃します。^,^^,^[Actor] tell you to charge!^,^^,^^
^CHatMsg_emotion_shame_yours^,^[Actor]님이 당신을 보며 부끄러워 합니다.^,^[Target]様があなたを見て恥ずかしがっています。^,^^,^[Actor] looks bashfully at you.^,^^,^^
^CHatMsg_emotion_greeting_yours^,^[Actor]님이 당신에게 손인사를 합니다.^,^[Target]様があなたに手を振り挨拶をしてします。^,^^,^[Actor] waves at you.^,^^,^^
^CHatMsg_emotion_joyful_yours^,^[Actor]님이 당신을 보며 기뻐합니다.^,^[Target]様があなたを見て喜んでいます。^,^^,^[Actor] is overjoyed to see you.^,^^,^^
^CHatMsg_emotion_cry_yours^,^[Actor]님이 당신을 보며 엉엉 웁니다.^,^[Target]様があなたを見てわんわんと泣いています。^,^^,^You've made [Actor] cry.^,^^,^^
^CHatMsg_emotion_smile_yours^,^[Actor]님이 당신을 보며 크게 웃습니다.^,^[Target]様があなたを見て爆笑しています。^,^^,^[Actor] laughs at you.^,^^,^^
^CHatMsg_emotion_cheerup_yours^,^[Actor]님이 당신을 응원합니다.^,^[Target]様があなたを応援しています。^,^^,^[Actor] cheers you on.^,^^,^^
^CHatMsg_emotion_mockery_yours^,^[Actor]님이 당신을 조롱합니다.^,^[Target]様があなたをからかっています。^,^^,^[Actor] mocks you.^,^^,^^
^CHatMsg_emotion_cheers_yours^,^[Actor]님이 당신을 보며 환호합니다.^,^[Target]様があなたを見て歓呼しています。^,^^,^[Actor] cheers you on.^,^^,^^
^CHatMsg_emotion_penalty1_yours^,^[Actor]님이 당신에게 땀을 흘리며 벌칙을 받습니다.^,^[Target]様があなたに罰を受けています。^,^^,^[Actor] looks sheepishly away from you.^,^^,^^
^CHatMsg_emotion_penalty2_yours^,^[Actor]님이 당신에게 벌칙을 받으며 힘들어 합니다.^,^[Target]様があなたに罰を受け辛そうです。^,^^,^[Actor] looks dubiously at you.^,^^,^^
^CHatMsg_emotion_refuse_yours^,^[Actor]님이 당신에게 거절의 의사를 밝힙니다.^,^[Target]様があなた拒絶の意思を示しています^,^^,^[Actor] declines you.^,^^,^^
^CHatMsg_emotion_angry_yours^,^[Actor]님이 당신을 보며 화를 냅니다.^,^[Target]様があなたに対し怒っています。^,^^,^[Actor] is furious at you.^,^^,^^
^CHatMsg_emotion_applause_yours^,^[Actor]님이 당신을 보며 박수를 칩니다.^,^[Target]様があなたに向かって拍手をしています。^,^^,^[Actor] applauds you.^,^^,^^
^CHatMsg_emotion_salute_yours^,^[Actor]님이 당신에게 경례를 합니다.^,^[Target]様があなたに敬礼しています。^,^^,^[Actor] salutes at you.^,^^,^^
^CHatMsg_emotion_cheek_yours^,^[Actor]님이 당신의 따귀를 힘껏 때립니다.^,^[Target]様があなたにビンタを打ちます。^,^^,^[Actor] slaps you across the face.^,^^,^^
^CHatMsg_emotion_slapped_yours^,^[Actor]님이 당신에게 따귀를 맞고 아파합니다.^,^[Target]様があなたにビンタを打たれて痛がっています。^,^^,^[Actor]'s eyes water from your slap.^,^^,^^
^CHatMsg_emotion_beg2_yours^,^[Actor]님이 당신에게 떼를 씁니다. 징징징^,^[Target]様があなたにわがままを言っています。ねぇねぇ^,^^,^[Actor] whines to you.^,^^,^^
