t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^action_tooltip_action_0001^,^강화장치 조작^,^^,^^,^Cleanse Obelisk^,^^,^^
^action_tooltip_action_0002^,^널빤지 뜯어 내기^,^^,^^,^Salvage Wood^,^^,^^
^action_tooltip_action_0003^,^다리 내리기^,^^,^^,^Place Bridge^,^^,^^
^action_tooltip_action_0004^,^대포 쏘기^,^^,^^,^Fire Cannon^,^^,^^
^action_tooltip_action_0005^,^도르래 빼기^,^^,^^,^Take Pulley^,^^,^^
^action_tooltip_action_0006^,^레버 당기기^,^^,^^,^Pull Lever^,^^,^^
^action_tooltip_action_0007^,^마법구 작동^,^^,^^,^Take Soul Sphere^,^^,^^
^action_tooltip_action_0008^,^마비독 살포하기^,^^,^^,^Poison Food^,^^,^^
^action_tooltip_action_0009^,^맹독 살포하기^,^^,^^,^Poison Food^,^^,^^
^action_tooltip_action_0010^,^모래 속 뒤지기^,^^,^^,^Dig Into Sand^,^^,^^
^action_tooltip_action_0011^,^검 뽑기^,^^,^^,^Get Sword^,^^,^^
^action_tooltip_action_0012^,^무기 꺼내기^,^^,^^,^Take Weapon^,^^,^^
^action_tooltip_action_0013^,^무덤 손질하기^,^^,^^,^Clean Grave^,^^,^^
^action_tooltip_action_0014^,^물 끼얹기^,^^,^^,^Pour Water^,^^,^^
^action_tooltip_action_0015^,^물의 거울 설치^,^^,^^,^Place Water Mirror^,^^,^^
^action_tooltip_action_0016^,^미끼 놓기^,^^,^^,^Place Bait^,^^,^^
^action_tooltip_action_0017^,^벌집 건드리기^,^^,^^,^Touch Beehive^,^^,^^
^action_tooltip_action_0018^,^장비 보관함 소각하기^,^^,^^,^Burn Stores^,^^,^^
^action_tooltip_action_0019^,^레일 부품 빼기^,^^,^^,^Destroy^,^^,^^
^action_tooltip_action_0020^,^불 끄기^,^^,^^,^Douse Fire^,^^,^^
^action_tooltip_action_0021^,^불 붙이기^,^^,^^,^Light Fire^,^^,^^
^action_tooltip_action_0022^,^붙 붙이기^,^^,^^,^Light Fire^,^^,^^
^action_tooltip_action_0023^,^전서오에 비밀서신 매달기^,^^,^^,^Attach Document^,^^,^^
^action_tooltip_action_0024^,^뼈 발굴하기^,^^,^^,^Unearth Bone^,^^,^^
^action_tooltip_action_0025^,^뿔나팔 조작하기^,^^,^^,^Use Horn^,^^,^^
^action_tooltip_action_0026^,^석궁 부품 챙기기^,^^,^^,^Pack Crossbow Parts^,^^,^^
^action_tooltip_action_0027^,^소환석 작동시키기^,^^,^^,^Use Summoner's Stone^,^^,^^
^action_tooltip_action_0028^,^수로 개방^,^^,^^,^Open Waterway^,^^,^^
^action_tooltip_action_0029^,^수호석 작동^,^^,^^,^Use Guardian Stone^,^^,^^
^action_tooltip_action_0030^,^수호신룡 소환^,^^,^^,^Summon Guardian Dragon^,^^,^^
^action_tooltip_action_0031^,^수호의 힘 봉인^,^^,^^,^Seal Guardian Power^,^^,^^
^action_tooltip_action_0032^,^수호진 작동^,^^,^^,^Use Guardian Circle^,^^,^^
^action_tooltip_action_0033^,^스위치 작동^,^^,^^,^Use Switch^,^^,^^
^action_tooltip_action_0034^,^시신 수습하기^,^^,^^,^Sanctify Corpse^,^^,^^
^action_tooltip_action_0035^,^시신 수습하기^,^^,^^,^Handle Corpse^,^^,^^
^action_tooltip_action_0036^,^식량 보급^,^^,^^,^Deliver Food Supplies^,^^,^^
^action_tooltip_action_0037^,^신념의 힘 봉인^,^^,^^,^Seal Strength^,^^,^^
^action_tooltip_action_0038^,^신탁 받기^,^^,^^,^Receive Oracle^,^^,^^
^action_tooltip_action_0039^,^씨앗 심기^,^^,^^,^Plant Seeds^,^^,^^
^action_tooltip_action_0040^,^안장하기^,^^,^^,^Put On Saddle^,^^,^^
^action_tooltip_action_0041^,^독수리 알 수집^,^^,^^,^Take Egg^,^^,^^
^action_tooltip_action_0042^,^양념 재료 넣기^,^^,^^,^Add Spices^,^^,^^
^action_tooltip_action_0043^,^어둠의 서 획득^,^^,^^,^Take Book of Ruin^,^^,^^
^action_tooltip_action_0044^,^얼음상 깨기^,^^,^^,^Break Ice Statue^,^^,^^
^action_tooltip_action_0045^,^역병표본 채취하기^,^^,^^,^Gather Epidemic Sample^,^^,^^
^action_tooltip_action_0046^,^연장 챙기기^,^^,^^,^Take Tool^,^^,^^
^action_tooltip_action_0047^,^열쇠 획득^,^^,^^,^Take^,^^,^^
^action_tooltip_action_0048^,^영혼 인도하기^,^^,^^,^Lead Souls^,^^,^^
^action_tooltip_action_0049^,^용광로 기울이기^,^^,^^,^Tilt Furnace^,^^,^^
^action_tooltip_action_0050^,^조각상 감상하기^,^^,^^,^Admire Statue^,^^,^^
^action_tooltip_action_0051^,^인부에게 지원 요청^,^^,^^,^Rally^,^^,^^
^action_tooltip_action_0052^,^인질 구출^,^^,^^,^Rescue Hostage^,^^,^^
^action_tooltip_action_0053^,^작동 중^,^^,^^,^Using^,^^,^^
^action_tooltip_action_0054^,^작업복 꺼내기^,^^,^^,^Gather Clothes^,^^,^^
